journal_id,entry_date,account_number,account_title,gross_amount,details
JE25-0001,14-May-2026,1000,Cash,38987.34,Capital contribution
JE25-0001,14-May-2026,3000,Share Capital,(38987.34),Capital contribution
JE25-0002,10-Jul-2026,2000,Accounts Payable,19049.58,Supplier payment
JE25-0002,10-Jul-2026,1000,Cash,(19049.58),Supplier payment
JE25-0003,16-May-2026,4000,Sales Revenue,79310.41,Depreciation charge
JE25-0003,16-May-2026,1500,Fixed Assets,(79310.41),Depreciation charge
JE25-0004,05-Jan-2026,5200,Rent Expense,2695.78,Depreciation charge
JE25-0004,05-Jan-2026,1500,Fixed Assets,(2695.78),Depreciation charge
JE25-0005,04-Aug-2026,1500,Fixed Assets,79277.96,Asset purchase
JE25-0005,04-Aug-2026,2000,Accounts Payable,(79277.96),Asset purchase
JE25-0006,21-Dec-2026,1500,Fixed Assets,46805.43,Asset purchase
JE25-0006,21-Dec-2026,1000,Cash,(46805.43),Asset purchase
JE25-0007,03-Aug-2026,1000,Cash,72683.54,Customer receipt
JE25-0007,03-Aug-2026,1100,Accounts Receivable,(72683.54),Customer receipt
JE25-0008,22-Nov-2026,1010,Bank Current Account,82512.61,Loan drawdown
JE25-0008,22-Nov-2026,4200,Other Income,(82512.61),Loan drawdown
JE25-0009,01-Oct-2026,5100,Salaries Expense,48763.08,Payroll run
JE25-0009,01-Oct-2026,1010,Bank Current Account,(48763.08),Payroll run
JE25-0010,15-Jun-2026,1500,Fixed Assets,5699.71,Asset purchase
JE25-0010,15-Jun-2026,2000,Accounts Payable,(5699.71),Asset purchase
JE25-0011,14-Jun-2026,2000,Accounts Payable,5166.46,Supplier payment
JE25-0011,14-Jun-2026,1000,Cash,(5166.46),Supplier payment
JE25-0012,17-Feb-2026,1010,Bank Current Account,50383.73,Loan drawdown
JE25-0012,17-Feb-2026,1000,Cash,(50383.73),Loan drawdown
JE25-0013,18-Mar-2026,1000,Cash,56942.62,Customer receipt
JE25-0013,18-Mar-2026,1100,Accounts Receivable,(56942.62),Customer receipt
